id,name,language
137,Zero,hindi
138,Hindi Medium,hindi
139,Rustom,hindi
140,2 States,hindi
141,Kapoor & Sons,hindi
142,Monsoon Wedding,hindi
143,Badla,hindi
144,Madras Cafe,hindi
145,Drishyam 2,malayalam
146,Gabbar is Back,hindi
147,Agneepath,hindi
148,Jolly LLB 2,hindi
149,Bodyguard,hindi
150,Khosla Ka Ghosla!,hindi
151,Darr,hindi
152,Tiger Zinda Hai,hindi
153,Guru,hindi
154,Bhool Bhulaiyaa,hindi
155,Bang Bang,hindi
156,Badlapur,hindi
157,Pad Man,hindi
158,Jo Jeeta Wohi Sikandar,hindi
159,Super 30,hindi
160,Eega,tamil
161,Eega,telugu
162,Tanhaji: The Unsung Warrior,hindi
163,Arjun Reddy,telugu
164,Koi... Mil Gaya,hindi
165,2,tamil
166,2,hindi
167,Ae Dil Hai Mushkil,hindi
168,Secret Superstar,hindi
169,Parmanu: The Story of Pokhran,hindi
170,Neerja,hindi
171,Lakshya,hindi
172,Rock On!!,hindi
173,Krrish 3,tamil
174,Krrish 3,telugu
175,Krrish 3,hindi
176,Dil To Pagal Hai,hindi
177,Namastey London,hindi
178,Rowdy Rathore,hindi
179,96,tamil
180,Ugly,hindi
181,Detective Byomkesh Bakshy!,hindi
182,Pyaar Ka Punchnama,hindi
183,War,hindi
184,Bareilly Ki Barfi,hindi
185,Sonu Ke Titu Ki Sweety,hindi
186,Rangasthalam 1985,telugu
187,Omkara,hindi
188,Kaththi,tamil
189,I,tamil
190,Black Friday,hindi
191,Rocket Singh: Salesman of the Year,hindi
192,Wanted,hindi
193,Hum Aapke Hain Koun...!,hindi
194,Jab Harry Met Sejal,hindi
195,Welcome,hindi
196,RamLeela,hindi
197,Krrish,tamil
198,Krrish,hindi
199,Phir Hera Pheri,hindi
200,Kabhi Alvida Naa Kehna,hindi
201,Magadheera,telugu
202,Dhoom,hindi
203,Toilet: A Love Story,hindi
204,Bharat,hindi
205,Dum Laga Ke Haisha,hindi
206,Hanky Panky,hindi
207,Sivaji,tamil
208,Jolly LLB,hindi
209,Manjhi: The Mountain Man,hindi
210,Thugs of Hindostan,hindi
211,24,tamil
212,Prem Ratan Dhan Payo,hindi
213,Prem Ratan Dhan Payo,tamil
214,Premam,malayalam
215,Wazir,hindi
216,Anbe Sivam,tamil
217,Guzaarish,hindi
218,Kabhi Haan Kabhi Naa,hindi
219,Thani Oruvan,tamil
220,Newton,hindi
221,Hum Dil De Chuke Sanam,hindi
222,Jai Ho,hindi
223,Baadshah,hindi
224,Bangalore Days,malayalam
225,The Villain,hindi
226,Nayakan,tamil
227,Student of the Year 2,hindi
228,Kaminey,hindi
229,Rajneeti,hindi
230,Once Upon a Time in Mumbaai,hindi
231,Tere Naam,hindi
232,Oye Lucky! Lucky Oye!,hindi
233,Saaho,telugu
234,Iqbal,hindi
235,Gangaajal,hindi
236,Sarkar,hindi
237,Student of the Year,hindi
238,Dabangg 2,hindi
239,Bharath Ane Nenu,telugu
240,Khuda Haafiz,hindi
241,Raid,hindi
242,Chhalaang,hindi
243,Shahid,hindi
244,Dil Dhadakne Do,hindi
245,Band Baaja Baaraat,hindi
246,Race 2,hindi
247,Golmaal: Fun Unlimited,hindi
248,Baghban,hindi
249,Ready,hindi
250,Raat Akeli Hai,hindi
251,Anniyan,tamil
252,Khakee,hindi
253,Love Aaj Kal,hindi
254,Simmba,hindi
255,Kesari,hindi
256,The Legend of Bhagat Singh,hindi
257,Good Newwz,hindi
258,Lootera,hindi
259,Dheepan,tamil
260,Company,hindi
261,Tubelight,hindi
262,Thappad,hindi
263,Chalte Chalte,hindi
264,Nayak: The Real Hero,hindi
265,Singham,hindi
266,Water,hindi
267,Theri,tamil
268,Singh Is King,hindi
269,Lootcase,hindi
270,Mr. India,hindi
271,Garam Masala,hindi
272,Pyaar Ka Punchnama 2,hindi
273,Border,hindi
274,Gulaal,hindi
275,Mulk,hindi
276,Dostana,hindi
277,Kaho Naa... Pyaar Hai,hindi
278,Sarkar,tamil
279,Mujhse Shaadi Karogi,hindi
280,Pardes,hindi
281,October,hindi
282,Hasee Toh Phasee,hindi
283,Satya,hindi
284,Tanu Weds Manu,hindi
285,Kaithi,tamil
286,Karwaan,malayalam
287,Karwaan,hindi
288,Dhamaal,hindi
289,Ghajini,tamil
290,The Reluctant Fundamentalist,tamil
291,Heyy Babyy,hindi
292,Madaari,hindi
293,Hungama,hindi
294,Bigil,tamil
295,Cocktail,hindi
296,Asuran,tamil
297,Hum Tum,hindi
298,Housefull 2,hindi
299,Ashoka the Great,hindi
300,Jaane Bhi Do Yaaro,hindi
301,Race,hindi
302,Peranbu,tamil
303,Raman Raghav 2.0,hindi
304,Desi Boyz,hindi
305,Karan Arjun,hindi
306,Shaadi Mein Zaroor Aana,hindi
307,Dhuruvangal Pathinaaru,tamil
308,Housefull,hindi
309,Ajab Prem Ki Ghazab Kahani,hindi
310,Mankatha,tamil
311,Pokiri,telugu
312,Vaastav: The Reality,hindi
313,Dookudu,telugu
314,Paheli,hindi
315,RangiTaranga,kannada
316,Dhobi Ghat,hindi
317,Yes Boss,hindi
318,Chachi 420,hindi
319,Aankhen,hindi
320,Section 375,hindi
321,Athadu,telugu
322,N.H 10,hindi
323,The Ghazi Attack,telugu
324,The Ghazi Attack,hindi
325,Ustad Hotel,malayalam
326,Mission Mangal,hindi
327,Bala,hindi
328,Roja,tamil
329,Peepli [Live],hindi
330,Nanban,tamil
331,Te3n,hindi
332,Veere Di Wedding,hindi
333,Dream Girl,hindi
334,Vada Chennai,tamil
335,AK vs AK,hindi
336,Brothers,hindi
337,Fashion,hindi
338,Mardaani,hindi
339,Chupke Chupke,hindi
340,Hey Ram,tamil
341,Johnny Gaddaar,hindi
342,Kabali,malayalam
343,Kabali,tamil
344,Kabali,telugu
345,Mrs. Serial Killer,hindi
346,Tees Maar Khan,hindi
347,Go Goa Gone,hindi
348,GOLD,hindi
349,Kalank,hindi
350,Lucia,kannada
351,Bombay,tamil
352,Humpty Sharma Ki Dulhania,hindi
353,Table No. 21,hindi
354,Saala Khadoos,hindi
355,Saala Khadoos,tamil
356,Don,hindi
357,Paa,hindi
358,Aruvi,tamil
359,Bheja Fry,hindi
360,Partner,hindi
361,Srimanthudu,telugu
362,Bhagam Bhag,hindi
363,Life in a Metro,hindi
364,MSG: The Messenger of God,hindi
365,MSG: The Messenger of God,malayalam
366,MSG: The Messenger of God,tamil
367,MSG: The Messenger of God,telugu
368,Angrezi Medium,hindi
369,No One Killed Jessica,hindi
370,Gulabo Sitabo,hindi
371,Indian,tamil
372,Vivegam,tamil
373,Geetha Govindam,telugu
374,Ghulam,hindi
375,Hichki,hindi
376,Billu,hindi
377,Theeran Adhigaram Ondru,tamil
378,Trapped,hindi
379,No Entry,hindi
380,Karthik Calling Karthik,hindi
381,Maine Pyar Kiya,hindi
382,Aamir,hindi
383,Mohenjo Daro,hindi
384,Dabangg 3,tamil
385,Dabangg 3,telugu
386,Dabangg 3,hindi
387,Dabangg 3,kannada
388,Fukrey,hindi
389,Badrinath Ki Dulhania,hindi
390,Kedarnath,hindi
391,Velayudham,tamil
392,Ittefaq,hindi
393,Super Deluxe,tamil
394,Bachna Ae Haseeno,hindi
395,Jigarthanda,tamil
396,Thalapathi,tamil
397,Qayamat Se Qayamat Tak,hindi
398,Vaaranam Aayiram,tamil
399,7 Aum Arivu,tamil
400,New York,hindi
401,Boss,hindi
402,Ankhon Dekhi,hindi
403,Billa 2,tamil
404,Deewaar,hindi
405,Sanam Teri Kasam,hindi
406,Tere Bin Laden,hindi
407,Housefull 4,hindi
408,Jilla,malayalam
409,Jilla,tamil
410,Mahanati,tamil
411,Mahanati,telugu
412,Manam,telugu
413,Gadar: Ek Prem Katha,hindi
414,Ishqiya,hindi
415,Ishq,hindi
416,Mary Kom,hindi
417,Manikarnika: The Queen of Jhansi,hindi
418,Manikarnika: The Queen of Jhansi,tamil
419,Manikarnika: The Queen of Jhansi,telugu
420,Kumbalangi Nights,malayalam
421,Lust Stories,hindi
422,Gunda,hindi
423,Shivaay,hindi
424,Batla House,hindi
425,Bulbbul,hindi
426,Maqbool,hindi
427,C'est la vie!,tamil
428,Shanghai,hindi
429,Business Man,telugu
430,Khatta Meetha,hindi
431,The Big Bull,hindi
432,Aitraaz,hindi
433,Pariyerum Perumal,tamil
434,Luck by Chance,hindi
435,Baaghi 3,hindi
436,Josh,hindi
437,Shootout at Lokhandwala,hindi
438,Blackmail,hindi
439,Mangal Pandey: The Rising,hindi
440,D-Day,hindi
441,Waqt: The Race Against Time,hindi
442,Baaghi 2,hindi
443,Jersey,telugu
444,Dhadak,hindi
445,Jagga Jasoos,hindi
446,Rangeela,hindi
447,Judwaa 2,hindi
448,Spyder,tamil
449,Spyder,telugu
450,Soodhu Kavvum,tamil
451,The Tashkent Files,hindi
452,Taxi No. 9 2 11: Nau Do Gyarah,hindi
453,Mom,hindi
454,Vivah,hindi
455,Baasha,tamil
456,Ghilli,tamil
457,Manichitrathazhu,malayalam
458,Nannaku Prematho,telugu
459,Ladies vs. Ricky Bahl,hindi
460,Son of Sardaar,hindi
461,Sonchiriya,hindi
462,Shubh Mangal Savdhan,hindi
463,Mere Brother Ki Dulhan,hindi
464,Pokkiri,tamil
465,Chup Chup Ke,hindi
466,The Dirty Picture,tamil
467,The Dirty Picture,hindi
468,Parineeta,hindi
469,Agent Sai Srinivasa Athreya,telugu
470,Race Gurram,telugu
471,Arrambam,tamil
472,Dasavatharam,tamil
473,Salaam Bombay!,hindi
474,Bommarillu,telugu
475,Patiala House,hindi
476,Ayan,tamil
477,Mother India,hindi
478,Okkadu,telugu
479,Phantom,hindi
480,Malang,hindi
481,Luka Chuppi,hindi
482,Yuva,hindi
483,Ala Vaikunthapurramuloo,telugu
484,Thalaivaa,tamil
485,Atharintiki Daaredi,telugu
486,MSG 2 the Messenger,hindi
487,MSG 2 the Messenger,malayalam
488,MSG 2 the Messenger,tamil
489,MSG 2 the Messenger,telugu
490,Housefull 3,hindi
491,Agneepath,hindi
492,Goodachari,telugu
493,Charlie,malayalam
494,Koyla,hindi
495,Bhootnath,hindi
496,Petta,tamil
497,Khaleja,telugu
498,Ab Tak Chhappan,hindi
499,Golmaal Again,hindi
500,Bol Bachchan,hindi
501,Shakuntala Devi,hindi
502,Heropanti,hindi
503,Yennai Arindhaal,tamil
504,Visaaranai,tamil
505,Bairavaa,tamil
506,Shaitan,hindi
507,Ajnabee,hindi
508,Shuddh Desi Romance,hindi
509,Himmatwala,hindi
510,Chandni Chowk to China,hindi
511,Main Tera Hero,hindi
512,Shubh Mangal Zyada Saavdhan,hindi
513,Kaala,tamil
514,Uppi 2,kannada
515,Mardaani 2,hindi
516,Khaali Peeli,hindi
517,Khoobsurat,hindi
518,Lucifer,malayalam
519,Lucifer,tamil
520,Vakeel Saab,telugu
521,Singh Is Bliing,hindi
522,Baaghi,hindi
523,Humshakals,hindi
524,It's Entertainment,hindi
525,A Peck on the Cheek,tamil
526,Awara Paagal Deewana,hindi
527,Khiladi,hindi
528,I Hate Luv Storys,hindi
529,Puli,tamil
530,Rehnaa Hai Terre Dil Mein,hindi
531,Singham Returns,hindi
532,Mohra,hindi
533,Guide,hindi
534,De Dana Dan,hindi
535,Golmaal 3,hindi
536,The Sky Is Pink,hindi
537,Rocky Handsome,hindi
538,Earth,hindi
539,Socha Na Tha,hindi
540,Love Per Square Foot,hindi
541,Manorama: Six Feet Under,hindi
542,Saawariya,hindi
543,MSG the Warrior: Lion Heart,hindi
544,Veer,hindi
545,Husband Material,hindi
546,Sui Dhaaga: Made in India,hindi
547,Amar Akbar Anthony,hindi
548,Raju Ban Gaya Gentleman,hindi
549,The Girl on the Train,hindi
550,Sarkar Raj,hindi
551,Children's Party,hindi
552,The Great Father,malayalam
553,Roy,hindi
554,Delhi-6,hindi
555,Force,hindi
556,Agent Vinod,hindi
557,De De Pyaar De,hindi
558,Vedam,telugu
559,Qarib Qarib Single,hindi
560,Maheshinte Prathikaaram,malayalam
561,Golmaal Returns,hindi
562,Raja Hindustani,hindi
563,Befikre,hindi
564,Duplicate,hindi
565,Aravindha Sametha,telugu
566,Hulchul,hindi
567,Pizza,tamil
568,Bhavesh Joshi Superhero,hindi
569,Pulimurugan,malayalam
570,Pulimurugan,tamil
571,Pulimurugan,telugu
572,Veeram,tamil
573,Shamitabh,hindi
574,Phir Bhi Dil Hai Hindustani,hindi
575,Viswasam,tamil
576,Dishoom,hindi
577,Dedh Ishqiya,hindi
578,Ishaqzaade,hindi
579,Ek Hasina Thi,hindi
580,Salaam Namaste,hindi
581,Ulidavaru Kandanthe,kannada
582,Hum Saath-Saath Hain: We Stand United,hindi
583,Dhadkan,hindi
584,Love Aaj Kal,hindi
585,Vettaiyaadu Vilaiyaadu,tamil
586,No Smoking,hindi
587,Mudhalvan,tamil
588,Yevadu,telugu
589,Once Upon a Time in Mumbaai Dobara,hindi
590,The Brawler,hindi
591,Page 3,hindi
592,Saathiya,hindi
593,Kambakkht Ishq,hindi
594,Aloko Udapadi,tamil
595,Awarapan,hindi
596,Ram Gopal Varma Ki Aag,hindi
597,The Extraordinary Journey of the Fakir,tamil
598,Murder 2,hindi
599,Sye Raa Narasimha Reddy,telugu
600,102 Not Out,hindi
601,Hum Tumhare Hain Sanam,hindi
602,Half Girlfriend,hindi
603,Jallikattu,malayalam
604,Bunty Aur Babli,hindi
605,Mission Kashmir,hindi
606,Ek Main Aur Ekk Tu,hindi
607,Mard Ko Dard Nahin Hota,hindi
608,Mard Ko Dard Nahin Hota,malayalam
609,Billa,tamil
610,Khiladi 786,hindi
611,Kireedam,malayalam
612,Badmaa$h Company,hindi
613,Stanley Ka Dabba,hindi
614,ABCD (Any Body Can Dance),hindi
615,Anjaana Anjaani,hindi
616,Shootout at Wadala,hindi
617,Padosan,hindi
618,Game Over,tamil
619,Game Over,telugu
620,Baar Baar Dekho,hindi
621,Shikara,hindi
622,Lipstick Under My Burkha,hindi
623,The Accidental Prime Minister,hindi
624,Memories,malayalam
625,Nerkonda Paarvai,tamil
626,Dear Comrade,telugu
627,Papanasam,tamil
628,Jawaani Jaaneman,hindi
629,Deewana,hindi
630,Aligarh,hindi
631,Satyameva Jayate,hindi
632,Vedalam,tamil
633,Pelli Choopulu,telugu
634,Janatha Garage,telugu
635,13B: Fear Has a New Address,hindi
636,13B: Fear Has a New Address,tamil
637,Maharshi,telugu
638,Dasvidaniya,hindi
639,Anjaam,hindi
640,V,telugu
641,Drive,hindi
642,Matru ki Bijlee ka Mandola,hindi
643,Mumbai Police,malayalam
644,Masti,hindi
645,Saajan,hindi
646,Dhruva,telugu
647,Malamaal Weekly,hindi
648,Jannat: In Search of Heaven...,hindi
649,Mumbai Meri Jaan,hindi
650,Pati Patni Aur Woh,hindi
651,Mr. & Mrs. Khiladi,hindi
652,Gabbar Singh,telugu
653,Temper,telugu
654,Kaakkaa Muttai,tamil
655,Padayappa,tamil
656,Bluffmaster,hindi
657,Kaagaz,hindi
658,Nil Battey Sannata,hindi
659,Grand Masti,hindi
660,Raabta,hindi
661,Velaiyilla Pattathari,tamil
662,Singam 2,tamil
663,Chamatkar,hindi
664,Pari,hindi
665,Naam Shabana,hindi
666,Thevar Magan,tamil
667,Dor,hindi
668,Action Replayy,hindi
669,PM Narendra Modi,tamil
670,Street Dancer 3D,hindi
671,PM Narendra Modi,hindi
672,Roohi,hindi
673,Hunterrr,hindi
674,All the Best: Fun Begins,hindi
675,Pyaasa,hindi
676,Khiladiyon Ka Khiladi,hindi
677,Naa Peru Surya Na Illu India,telugu
678,Main Khiladi Tu Anari,hindi
679,Kis Kisko Pyaar Karoon,hindi
680,Singam,tamil
681,Bombay Velvet,hindi
682,Arya 2,telugu
683,Any Body Can Dance 2,hindi
684,Torbaaz,hindi
685,Welcome Back,hindi
686,7 Khoon Maaf,hindi
687,Singam 3,tamil
688,Singam 3,telugu
689,Sarileru Neekevvaru,malayalam
690,Sarileru Neekevvaru,telugu
691,Sarileru Neekevvaru,kannada
692,Sura,tamil
693,Jalsa,telugu
694,Chaman Bahaar,hindi
695,Gangster,hindi
696,Chekka Chivantha Vaanam,tamil
697,Alai Payuthey,tamil
698,Total Dhamaal,hindi
699,Pithamagan,tamil
700,Arya,telugu
701,R... Rajkumar,hindi
702,Daawat-e-Ishq,hindi
703,Pagglait,hindi
704,Hum Hain Rahi Pyar Ke,hindi
705,Hamari Adhuri Kahani,hindi
706,8 x 10 Tasveer,hindi
707,Seethamma Vakitlo Sirimalle Chettu,telugu
708,Karnan,tamil
709,Thank You,hindi
710,Ki & Ka,hindi
711,Ki & Ka,tamil
712,Ki & Ka,telugu
713,Besharam,hindi
714,Judgementall Hai Kya,hindi
715,"LSD: Love, Sex Aur Dhokha",hindi
716,Unnaipol Oruvan,tamil
717,Unnaipol Oruvan,telugu
718,Dhol,hindi
719,Kismat Konnection,hindi
720,Azhar,hindi
721,Judwaa,hindi
722,Jannat 2,hindi
723,Atithi Tum Kab Jaoge?,hindi
724,Ugramm,kannada
725,Mumbai Saga,hindi
726,Chandramukhi,malayalam
727,Chandramukhi,tamil
728,Panga,hindi
729,Mausam,hindi
730,Phas Gaye Re Obama,hindi
731,Jai Lava Kusa,telugu
732,Maattrraan,tamil
733,Sangharsh,hindi
734,Salaam-E-Ishq,hindi
735,Shaandaar,hindi
736,Do Dooni Chaar,hindi
737,Thadam,tamil
738,Thaanaa Serndha Koottam,tamil
739,Let's Be Friends!,hindi
740,Joker,hindi
741,Iruvar,tamil
742,Aarakshan,hindi
743,Kaakha..Kaakha: The Police,tamil
744,Naduvula Konjam Pakkatha Kaanom,tamil
745,Ferrari Ki Sawaari,hindi
746,Angamaly Diaries,malayalam
747,Kahaani 2,hindi
748,Avane Srimannarayana,kannada
749,A Gentleman,hindi
750,Bombay Talkies,hindi
751,OK Kanmani,malayalam
752,OK Kanmani,tamil
753,OK Kanmani,telugu
754,Lingaa,hindi
755,Lingaa,tamil
756,Take Off,malayalam
757,Mann,hindi
758,Taal,hindi
759,Taal,tamil
760,Happy Bhaag Jayegi,hindi
761,Class of '83,hindi
762,Romeo Akbar Walter,hindi
763,Aadukalam,tamil
764,Ko,tamil
765,Kaal,hindi
766,Tashan,hindi
767,Dil,hindi
768,Vinnaithaandi Varuvaayaa,tamil
769,Deiva Thirumagal,tamil
770,Virumandi,tamil
771,Pudhu Pettai,tamil
772,Cheeni Kum,hindi
773,Force 2,hindi
774,Chashme Baddoor,hindi
775,C/o Kancharapalem,telugu
776,Kannum Kannum Kollaiyadithaal,tamil
777,Bhoothnath Returns,hindi
778,Pranchiyettan and the Saint,malayalam
779,Satyagraha,hindi
780,Darbar,tamil
781,Darbar,hindi
782,Ghayal Once Again,hindi
783,Spadikam,malayalam
784,Devasuram,malayalam
785,Parched,hindi
786,Ujda Chaman,hindi
787,Angoor,hindi
788,Durgamati: The Myth,hindi
789,Indoo Ki Jawani,hindi
790,One 2 Ka 4,hindi
791,Ek Chalis Ki Last Local,hindi
792,Kochadaiiyaan,tamil
793,Fukrey Returns,hindi
794,Dolly Kitty and Those Twinkling Stars,hindi
795,Thondi Muthalum Driksakshiyum,malayalam
796,Sir,hindi
797,Kurbaan,hindi
798,Kaavalan,tamil
799,Abhrahaminte Santhathikal,malayalam
800,Biwi No. 1,hindi
801,Ghanchakkar,hindi
802,Julayi,telugu
803,Happy Days,telugu
804,Baazaar,hindi
805,Jathi Ratnalu,telugu
806,City Lights,hindi
807,Akele Hum Akele Tum,hindi
808,Coolie No. 1,hindi
809,Kshanam,telugu
810,Choked,hindi
811,Hazaaron Khwaishein Aisi,hindi
812,The Attacks of 26/11,hindi
813,Ohm Shanthi Oshaana,malayalam
814,Tumhari Sulu,hindi
815,Kaante,hindi
816,Ennu Ninte Moideen,malayalam
817,Imaikkaa Nodigal,tamil
818,Mr. and Mrs. Iyer,tamil
819,Chithram,malayalam
820,Commando,hindi
821,Anjaam Pathiraa,malayalam
822,Maine Pyaar Kyun Kiya,hindi
823,Mera Naam Joker,hindi
824,Trance,malayalam
825,Shakthi: The Power,hindi
826,Gupt: The Hidden Truth,hindi
827,Batti Gul Meter Chalu,hindi
828,Oru Vadakkan Veeragatha,malayalam
829,Kirik Party,kannada
830,Blue,hindi
831,Soorma,hindi
832,Deewane Huye Paagal,hindi
833,Sarrainodu,telugu
834,Rahasya,hindi
835,Ghost Stories,hindi
836,Mere Dad Ki Maruti,hindi
837,Neram,malayalam
838,Neram,tamil
839,Ayyappanum Koshiyum,malayalam
840,Maanagaram,tamil
841,Fitoor,hindi
842,3,tamil
843,Yeh Saali Zindagi,hindi
844,Bandit Queen,hindi
845,Kaappaan,tamil
846,Kaappaan,telugu
847,Krack,telugu
848,Phata Poster Nikhla Hero,hindi
849,Titli,hindi
850,Oopiri,tamil
851,Oopiri,telugu
852,Raja Rani,tamil
853,Baadshaho,hindi
854,Ayirathil Oruvan,tamil
855,Photograph,hindi
856,Ta Ra Rum Pum,hindi
857,Sarbjit,hindi
858,C U Soon,malayalam
859,Main Prem Ki Diwani Hoon,hindi
860,Pyaar Kiya To Darna Kya,hindi
861,Apaharan,hindi
862,Sabse Bada Khiladi,hindi
863,Yeh Dillagi,hindi
864,Joji,malayalam
865,36 China Town,hindi
866,Meri Pyaari Bindu,hindi
867,Panipat,hindi
868,Chori Chori Chupke Chupke,hindi
869,Kick,telugu
870,Nadodikkattu,malayalam
871,Anjaan,tamil
872,Traffic,malayalam
873,Laal Rang,hindi
874,Evaru,telugu
875,Leader,telugu
876,Maya Bazaar,tamil
877,Maya Bazaar,telugu
878,The Legend of Hanuman,malayalam
879,Virus,malayalam
880,Khushi,telugu
881,Raavan,hindi
882,Mela,hindi
883,London Dreams,hindi
884,Dia,kannada
885,Chopsticks,hindi
886,Nautanki Saala!,hindi
887,Bhoot: Part One - The Haunted Ship,hindi
888,Sachein,tamil
889,Saand Ki Aankh,hindi
890,Players,hindi
891,The Priest,malayalam
892,Kyaa Kool Hain Hum 3,hindi
893,Baadshah,telugu
894,Raincoat,hindi
895,Heroine,hindi
896,Tere Naal Love Ho Gaya,hindi
897,Har Dil Jo Pyar Karega...,hindi
898,Aiyaary,hindi
899,Colour Photo,telugu
900,Ghayal,hindi
901,Awe!,telugu
902,Dil Hai Ki Manta Nahin,hindi
903,Yamla Pagla Deewana,hindi
904,Mirchi,telugu
905,Android Kunjappan Ver 5.25,malayalam
906,Break Ke Baad,hindi
907,Raja Natwarlal,hindi
908,A Flying Jatt,hindi
909,Pathemari,malayalam
910,Saheb Biwi Aur Gangster,hindi
911,The Great Indian Kitchen,malayalam
912,Hind Ka Napak Ko Jawab,hindi
913,Yuvvraaj,hindi
914,Ek Thi Daayan,hindi
915,Laal Kaptaan,hindi
916,Rakhta Charitra,hindi
917,Rakhta Charitra,telugu
918,Michael Madana Kama Rajan,tamil
919,Nuvvu Naaku Nachchav,telugu
920,Aurangzeb,hindi
921,Humko Deewana Kar Gaye,hindi
922,Aaranya Kaandam,tamil
923,Thupparivaalan,tamil
924,S/O Satyamurthy,telugu
925,Shaurya: It Takes Courage to Make Right... Right,hindi
926,Chatrapathi,telugu
927,Aisha,hindi
928,Chintu Ka Birthday,hindi
929,Kuruthipunal,tamil
930,Kuruthipunal,telugu
931,Yaara,hindi
932,Bewakoofiyaan,hindi
933,Ishq Vishk,hindi
934,Kill Dil,hindi
935,Hello Brother,hindi
936,Irumbu Thirai,tamil
937,NGK,tamil
938,Kammatti Paadam,malayalam
939,Dil Bole Hadippa!,hindi
940,Thanmathra,malayalam
941,Shaadi Ke Side Effects,hindi
942,Naam Hai Akira,hindi
943,Rangoon,hindi
944,Teri Meri Kahaani,hindi
945,Fiza,hindi
946,Mookuthi Amman,tamil
947,Mujhse Fraaandship Karoge,hindi
948,Ek Ladki Ko Dekha Toh Aisa Laga,hindi
949,Guilty,hindi
